take_profit_percent,stop_loss_percent,zscore_sl_threshold,open_threshold_multiplier
0.01,0.01,6,0.8
0.01,0.01,6,0.9
0.01,0.01,6,1.0
0.01,0.01,6,1.1
0.01,0.01,6,1.2
0.01,0.02,6,0.8
0.01,0.02,6,0.9
0.01,0.02,6,1.0
0.01,0.02,6,1.1
0.01,0.02,6,1.2
0.01,0.03,6,0.8
0.01,0.03,6,0.9
0.01,0.03,6,1.0
0.01,0.03,6,1.1
0.01,0.03,6,1.2
0.01,0.04,6,0.8
0.01,0.04,6,0.9
0.01,0.04,6,1.0
0.01,0.04,6,1.1
0.01,0.04,6,1.2
0.02,0.01,6,0.8
0.02,0.01,6,0.9
0.02,0.01,6,1.0
0.02,0.01,6,1.1
0.02,0.01,6,1.2
0.02,0.02,6,0.8
0.02,0.02,6,0.9
0.02,0.02,6,1.0
0.02,0.02,6,1.1
0.02,0.02,6,1.2
0.02,0.03,6,0.8
0.02,0.03,6,0.9
0.02,0.03,6,1.0
0.02,0.03,6,1.1
0.02,0.03,6,1.2
0.02,0.04,6,0.8
0.02,0.04,6,0.9
0.02,0.04,6,1.0
0.02,0.04,6,1.1
0.02,0.04,6,1.2
0.03,0.01,6,0.8
0.03,0.01,6,0.9
0.03,0.01,6,1.0
0.03,0.01,6,1.1
0.03,0.01,6,1.2
0.03,0.02,6,0.8
0.03,0.02,6,0.9
0.03,0.02,6,1.0
0.03,0.02,6,1.1
0.03,0.02,6,1.2
0.03,0.03,6,0.8
0.03,0.03,6,0.9
0.03,0.03,6,1.0
0.03,0.03,6,1.1
0.03,0.03,6,1.2
0.03,0.04,6,0.8
0.03,0.04,6,0.9
0.03,0.04,6,1.0
0.03,0.04,6,1.1
0.03,0.04,6,1.2
0.04,0.01,6,0.8
0.04,0.01,6,0.9
0.04,0.01,6,1.0
0.04,0.01,6,1.1
0.04,0.01,6,1.2
0.04,0.02,6,0.8
0.04,0.02,6,0.9
0.04,0.02,6,1.0
0.04,0.02,6,1.1
0.04,0.02,6,1.2
0.04,0.03,6,0.8
0.04,0.03,6,0.9
0.04,0.03,6,1.0
0.04,0.03,6,1.1
0.04,0.03,6,1.2
0.04,0.04,6,0.8
0.04,0.04,6,0.9
0.04,0.04,6,1.0
0.04,0.04,6,1.1
0.04,0.04,6,1.2